 U-235(n,el) ENDFB-8.0
Energy(eV) XS(b)
3.45855 11.2366
3.46464 11.2200
3.47072 11.2030
3.47376 11.1944
3.47680 11.1856
3.47985 11.1768
3.48289 11.1678
3.48593 11.1588
3.48897 11.1497
3.49201 11.1405
3.49506 11.1314
3.49810 11.1222
3.50114 11.1130
3.50418 11.1039
3.50722 11.0949
3.51094 11.0840
3.51466 11.0735
3.51838 11.0635
3.52210 11.0541
3.52581 11.0454
3.52953 11.0378
3.53325 11.0314
3.53697 11.0265
3.54076 11.0234
3.54455 11.0225
3.54834 11.0242
3.55213 11.0289
3.55593 11.0370
3.55972 11.0489
3.56730 11.0853
3.57630 11.1532
3.58080 11.1977
3.58530 11.2494
3.58980 11.3077
3.59430 11.3721
3.59880 11.4417
3.60330 11.5154
3.60780 11.5919
3.61231 11.6696
3.61531 11.7214
3.61832 11.7725
3.62208 11.8349
3.62584 11.8946
3.62959 11.9510
3.63335 12.0032
3.63711 12.0507
3.64087 12.0931
3.64463 12.1301
3.64838 12.1614
3.65442 12.2000
3.66046 12.2244
3.66650 12.2361
3.66952 12.2376
3.67254 12.2365
3.67733 12.2302
3.67973 12.2251
3.68212 12.2190
3.68451 12.2119
3.68691 12.2039
3.68930 12.1952
3.69169 12.1858
3.69430 12.1749
3.69691 12.1636
3.69931 12.1527
3.70170 12.1416
3.70409 12.1303
3.70649 12.1188
3.70888 12.1072
3.71127 12.0956
3.71367 12.0839
3.71606 12.0723
3.71845 12.0607
3.72085 12.0492
3.72324 12.0379
3.72563 12.0266
3.72803 12.0155
3.73042 12.0045
3.73281 11.9937
3.73521 11.9831
3.73869 11.9680
3.74217 11.9533
3.74565 11.9389
3.74913 11.9250
3.75261 11.9114
3.75610 11.8982
3.75958 11.8854
3.76306 11.8730
3.76567 11.8639
3.76828 11.8550
3.77089 11.8463
3.77350 11.8378
3.77659 11.8279
3.77968 11.8183
3.78276 11.8089
3.78585 11.7998
3.78868 11.7916
3.79151 11.7835
3.79717 11.7680
3.80283 11.7532
3.80849 11.7389
3.81416 11.7252
3.81982 11.7120
3.82548 11.6994
3.83114 11.6872
3.83577 11.6775
3.84040 11.6681
3.84503 11.6590
3.84966 11.6501
3.85893 11.6330
3.86819 11.6168
3.87745 11.6013
3.88671 11.5865
3.89598 11.5723
3.90524 11.5587
3.91347 11.5470
3.92171 11.5357
3.92994 11.5247
3.93817 11.5140
3.95464 11.4935
3.97111 11.4739
3.98346 11.4598
3.99581 11.4461
4.00816 11.4328
4.02051 11.4198
4.03286 11.4071
4.04521 11.3947
4.06991 11.3705
4.09461 11.3472
4.11931 11.3244
4.14401 11.3021
4.16871 11.2802
4.20165 11.2513
4.23458 11.2225
4.26340 11.1974
4.29222 11.1720
4.32104 11.1464
4.34985 11.1202
4.37867 11.0933
4.39308 11.0795
4.40749 11.0655
4.42190 11.0512
4.43631 11.0365
4.45072 11.0215
4.46512 11.0060
4.48159 10.9877
4.49806 10.9687
4.51452 10.9488
4.53099 10.9279
4.53923 10.9170
4.55055 10.9016
4.56187 10.8855
4.57319 10.8686
4.58451 10.8509
4.59583 10.8322
4.60149 10.8224
4.60715 10.8124
4.61281 10.8020
4.61847 10.7913
4.62413 10.7802
4.62979 10.7687
4.63803 10.7513
4.64626 10.7328
4.65038 10.7231
4.65450 10.7132
4.65861 10.7029
4.66273 10.6922
4.66685 10.6812
4.67096 10.6698
4.67662 10.6534
4.68229 10.6362
4.68795 10.6179
4.69078 10.6084
4.69361 10.5986
4.69644 10.5885
4.69927 10.5780
4.70210 10.5673
4.70493 10.5562
4.70776 10.5447
4.71059 10.5329
4.71342 10.5207
4.71625 10.5080
4.71869 10.4967
4.72114 10.4851
4.72358 10.4731
4.72603 10.4608
4.72847 10.4482
4.73092 10.4351
4.73336 10.4217
4.73580 10.4080
4.73825 10.3938
4.74069 10.3793
4.74314 10.3645
4.74558 10.3494
4.74803 10.3340
4.75047 10.3183
4.75291 10.3025
4.75536 10.2865
4.75819 10.2678
4.76102 10.2493
4.76385 10.2309
4.76668 10.2129
4.76951 10.1956
4.77234 10.1791
4.77517 10.1637
4.77800 10.1498
4.78083 10.1377
4.78366 10.1277
4.78649 10.1203
4.78932 10.1159
4.79215 10.1148
4.79498 10.1176
4.79781 10.1246
4.80064 10.1362
4.80450 10.1601
4.80836 10.1942
4.81608 10.2949
4.82123 10.3868
4.82453 10.4558
4.82783 10.5324
4.83113 10.6157
4.83443 10.7049
4.83848 10.8209
4.84050 10.8811
4.84252 10.9422
4.84454 11.0041
4.84656 11.0664
4.84858 11.1289
4.85060 11.1911
4.85131 11.2126
4.85324 11.2713
4.85517 11.3291
4.85711 11.3859
4.85904 11.4411
4.86291 11.5465
4.86678 11.6434
4.87009 11.7187
4.87340 11.7859
4.87614 11.8352
4.87888 11.8785
4.88436 11.9468
4.89234 12.0038
4.89633 12.0149
4.90031 12.0157
4.90306 12.0110
4.90580 12.0024
4.90854 11.9905
4.91128 11.9755
4.91402 11.9581
4.91676 11.9384
4.91950 11.9171
